ID,Name,Status,Category,Status Detail,Latitude,Longitude,Link
RZ014,2165-2195 and 2205-2291 W 45th Av (Dunbar Ryerson United Church),Approved,approved_strata,"Approved Oct. 31, 2017",49.23115,-123.15909,https://wayback.archive-it.org/8849/20211021195206/https://rezoning.vancouver.ca/applications/2165-2195and2205-2291w45thave/index.htm
RZ027,4176 Alexandra St (York House),Approved,approved_office,"Approved Jan. 30, 2018",49.24874,-123.14032,https://wayback.archive-it.org/8849/20211021195556/https://rezoning.vancouver.ca/applications/4176alexandrast/index.htm
RZ032,1640-1650 Alberni St,Approved,approved_market,"Approved December 9, 2021",49.290494,-123.132327,https://www.shapeyourcity.ca/1640-1650-alberni-st
RZ049,855 Kingsway,Approved,approved_market,"Approved June 5, 2018",49.2553293689318,-123.08624,https://wayback.archive-it.org/8849/20211021201539/https://rezoning.vancouver.ca/applications/855kingsway/index.htm
RZ058,339 E 1st Ave,Approved,approved_office,"Approved Apr. 17, 2018",49.268498,-123.096288,https://wayback.archive-it.org/8849/20211021194130/https://rezoning.vancouver.ca/applications/339e1st/index.htm
RZ077,6679 Main St,Approved,approved_market,"Approved Jan. 16, 2018",49.223948,-123.102135,https://wayback.archive-it.org/8849/20211021202259/https://rezoning.vancouver.ca/applications/6679main/index.htm
RZ084,800 Quebec St & 801 Main St and 898 Main St (Northeast False Creek Sub-area 6D),Rezoning,rezoning_strata,On Hold,49.2774200000027,-123.100215687141,https://www.shapeyourcity.ca/800-quebec-st-801-main-st-and-898-main-st
RZ086,4459 Rupert St (DP-2017-00218),Approved,approved_market,"Approved Jun. 5, 2018",49.244909,-123.034192,https://wayback.archive-it.org/8849/20211021203356/https://rezoning.vancouver.ca/applications/4459rupert/index.htm
RZ112,2109 W 35th Ave,Approved,approved_market,"Approved Jul. 10, 2018",49.240514,-123.15559,https://wayback.archive-it.org/8849/20211021194840/https://rezoning.vancouver.ca/applications/2109w35ave/index.htm
RZ123,7807 Cambie St,Approved,approved_strata,"Approved Jul. 12, 2016",49.213916,-123.117495,https://wayback.archive-it.org/8849/20211021200219/https://rezoning.vancouver.ca/applications/7807cambie/index.htm
RZ125,3212 E Boulevard,Approved,approved_strata,"Approved Jul. 19, 2012",49.257083,-123.152114,https://wayback.archive-it.org/8849/20211021200934/https://rezoning.vancouver.ca/applications/3212eblvd/index.htm
RZ139,4575 Granville St,Approved,approved_market,"Approved Oct. 14, 2021",49.2445403247447,-123.139631085037,https://www.shapeyourcity.ca/4575-granville-st
RZ142,708-796 Renfrew St,Approved,approved_market,"Approved June 11, 2019",49.2779840621313,-123.043841,https://wayback.archive-it.org/8849/20211021203150/https://rezoning.vancouver.ca/applications/708renfrew/index.htm
RZ146,441-463 W 59th Ave,Approved,approved_strata,"Approved Feb 26, 2019",49.217169,-123.114918,https://wayback.archive-it.org/8849/20211021195417/https://rezoning.vancouver.ca/applications/441-463w59th/index.htm
RZ166,485 W 35th Ave,Approved,approved_strata,"Approved Sept 10, 2019",49.2394801008478,-123.116465572217,https://wayback.archive-it.org/8849/20211021194815/https://rezoning.vancouver.ca/applications/485w35thave/index.htm
RZ185,1290 Hornby St,Approved,approved_strata,"Approved July 7, 2022",49.277615,-123.128953,https://www.shapeyourcity.ca/1290-hornby-st
RZ186,1450 W Georgia St,Approved,approved_market,"Approved Oct 12, 2021",49.2893045388918,-123.129407945235,https://www.shapeyourcity.ca/1450-w-georgia-st
RZ186,1450 W Georgia St,Approved,approved_strata,"Approved Oct 12, 2021",49.2893075388918,-123.129410945235,https://www.shapeyourcity.ca/1450-w-georgia-st
RZ195,1940 Main St,Approved,approved_strata,"Approved Dec 11, 2019",49.2676054409689,-123.100202785667,https://wayback.archive-it.org/8849/20211021201727/https://rezoning.vancouver.ca/applications/1940mainst/index.htm
RZ196,620-644 W King Edward Ave,Approved,approved_strata,"Approved November 5, 2019",49.2487740328563,-123.118896620497,https://wayback.archive-it.org/8849/20211021201451/https://rezoning.vancouver.ca/applications/620wkingedwardave/index.htm
RZ202,1157 Burrard St,Approved,approved_strata,"Approved Oct 19, 2021",49.2796107583068,-123.129194818649,https://www.shapeyourcity.ca/1157-burrard-st
RZ204,1608-1616 West Georgia St & 1667 Alberni St,Rezoning,rezoning_strata,Application inactive,49.2906978975137,-123.131445892765,https://www.shapeyourcity.ca/1608-1616-w-georgia-st-and-1667-alberni-st
RZ213,2336-2366 Charles St,Approved,approved_strata,"Approved Sept 15, 2020",49.2726834,-123.056867,https://wayback.archive-it.org/8849/20211021200700/https://rezoning.vancouver.ca/applications/2336-2366charles/index.htm
RZ214,560 Raymur Ave,Rezoning,rezoning_strata,Application inactive,49.2794730476105,-123.082481870565,https://www.shapeyourcity.ca/560-raymur-ave
RZ215,1220-1298 E Hastings St,Rezoning,rezoning_strata,Application inactive,49.2810321823043,-123.07777545092,https://www.shapeyourcity.ca/1220-1298-e-hastings-st
RZ215,1220-1298 E Hastings St,Rezoning,rezoning_non_market,Application inactive,49.2810291823043,-123.07777245092,https://www.shapeyourcity.ca/1220-1298-e-hastings-st
RZ221,5507-5521 Columbia Street (Townhouses),Approved,approved_strata,"Approved Sept 12, 2019",49.2354459763448,-123.110984495808,https://wayback.archive-it.org/8849/20211021205600/https://rezoning.vancouver.ca/applications/5507-5521columbiast/index.htm
RZ229,187-195 West 41st Ave,Approved,approved_strata,"Approved June 23, 2020",49.233548622662,-123.110424471814,https://wayback.archive-it.org/8849/20211021195053/https://rezoning.vancouver.ca/applications/187-195w41stave/index.htm
RZ231,100 West 49th Avenue,Approved,approved_office,"Approved March 11, 2021",49.2244705593527,-123.108253975174,https://www.shapeyourcity.ca/100-w-49-ave
RZ236,486 West 26th Ave,Approved,approved_strata,"Approved June 25, 2020",49.2477735352513,-123.114820414444,https://wayback.archive-it.org/8849/20211021194649/https://rezoning.vancouver.ca/applications/486w26thave/index.htm
RZ237,4338-4362 Cambie St,Approved,approved_strata,"Approved February 25, 2020",49.2465653244286,-123.114917340244,https://wayback.archive-it.org/8849/20211021195856/https://rezoning.vancouver.ca/applications/4338-4362cambiest/index.htm
RZ239,615-623 West 31st Avenue (Townhouses),Approved,approved_strata,"Approved November 5, 2019",49.2435413102939,-123.118938185997,https://wayback.archive-it.org/8849/20211021203913/https://rezoning.vancouver.ca/applications/615-623w31stave/index.htm
RZ240,2092 Nanton Ave and 4330-4408 Arbutus St,Approved,approved_office,"Approved December 14, 2023",49.2470079888568,-123.152910733029,https://www.shapeyourcity.ca/2092-nanton-ave-and-4330-4408-arbutus-st
RZ241,3747-3761 Renfrew St,Approved,approved_market,"Approved September 12, 2023",49.251061860857,-123.044711643341,https://www.shapeyourcity.ca/3747-3761-renfrew-st
RZ242,109 E 40th Ave,Approved,approved_market,"Approved June 29, 2023",49.2349483923471,-123.103173173872,https://www.shapeyourcity.ca/109-e-40-ave
RZ243,7843-7845 Cambie St,Approved,approved_strata,"Approved June 23, 2020",49.2136827705725,-123.117514515242,https://wayback.archive-it.org/8849/20211021200512/https://rezoning.vancouver.ca/applications/7843cambiest/index.htm
RZ243,1890 SW Marine Dr,Approved,approved_market,"Approved January 23, 2024",49.2109011113301,-123.151193030958,https://www.shapeyourcity.ca/1890-sw-marine-dr
RZ245,5526-5592 Granville St and 1498 W 39th Ave,Approved,approved_market,"Approved July 11, 2023",49.235930204501,-123.139171553097,https://www.shapeyourcity.ca/5526-5592-granville-st-and-1498-w-39-ave
RZ247,526-528 West 37th Ave,Approved,approved_strata,"Approved July 21, 2020",49.2370872,-123.1166536,https://wayback.archive-it.org/8849/20211021194904/https://rezoning.vancouver.ca/applications/526-528w37thave/index.htm
RZ247,6095 Fraser St,Approved,approved_market,"Approved February 29, 2024",49.2294365970164,-123.091061732518,https://www.shapeyourcity.ca/6095-fraser-st
RZ248,2015 Main St and 190 E 4th Ave,Approved,approved_market,"Approved January 23, 2024",49.2669174324719,-123.101224819342,https://www.shapeyourcity.ca/2015-main-st
RZ251,3539 Hull St,Approved,approved_market,"Approved July 11, 2023",49.2530192132075,-123.064416423889,https://www.shapeyourcity.ca/3539-hull-st
RZ253,5650-5690 Blenheim St,Approved,approved_market,"Approved July 11, 2023",49.2349931114202,-123.178334504588,https://www.shapeyourcity.ca/5650-5690-blenheim-st
RZ254,949 West 41st Ave & 5469-5507 Willow St (Oakridge Transit Centre),Approved,approved_market,"Approved Dec 8, 2020",49.2355921707792,-123.126043317959,https://wayback.archive-it.org/8849/20211021195119/https://rezoning.vancouver.ca/applications/949w41stave/index.htm
RZ254,4906-4958 Main St,Approved,approved_market,"Approved July 9, 2024",49.240018556549,-123.101184597426,https://www.shapeyourcity.ca/4906-4958-main-st
RZ255,2231-2247 E 41st Ave,Approved,approved_market,"Approved December 14, 2023",49.2331353023832,-123.060758871079,https://www.shapeyourcity.ca/2231-2247-e-41-ave
RZ259,5250-5270 Ash St & 595 W 37th Ave,Approved,approved_non_market,"Approved February 27, 2024",49.2376296124904,-123.117355963147,https://www.shapeyourcity.ca/5250-5270-ash-st-and-595-w-37-ave
RZ260,5392-5472 Manson St,Approved,approved_strata,"Approved February 27, 2024",49.2358500551717,-123.118980907074,https://www.shapeyourcity.ca/5392-5472-manson-st
RZ260,1001 Kingsway,Rezoning,rezoning_non_market,Application inactive,49.2541130232376,-123.083522998277,https://www.shapeyourcity.ca/1001-kingsway
RZ261,6081-6083 Collingwood Pl,Approved,approved_market,"Approved October 17, 2023",49.2314717012657,-123.184927967885,https://www.shapeyourcity.ca/6081-6083-collingwood-place
RZ262,4711-4787 Cambie St,Approved,approved_strata,"Approved December 12, 2023",49.2423883645848,-123.119014944398,https://www.shapeyourcity.ca/4711-4787-cambie-st
RZ263,4721 Oak St,Approved,approved_strata,"Approved October 17, 2023",49.2432211973849,-123.128151604725,https://www.shapeyourcity.ca/4721-oak-st
RZ264,2005-2045 W 49th Ave,Approved,approved_market,"Approved October 17, 2023",49.2273837516906,-123.153387613717,https://www.shapeyourcity.ca/2005-2045-w-49-ave
RZ265,2596-2660 E 41st Ave,Approved,approved_market,"Approved July 11, 2023",49.2325625490412,-123.052578855866,https://www.shapeyourcity.ca/2596-2660-e-41-ave
RZ266,2560-2580 Trafalgar St,Approved,approved_market,"Approved September 28, 2023",49.2632279911983,-123.164436649715,https://www.shapeyourcity.ca/2560-2580-trafalgar-st
RZ270,5812-5844 Cambie St,Approved,approved_strata,"Approved Nov 18, 2021",49.2320561175229,-123.115800938817,https://www.shapeyourcity.ca/5812-5844-cambie-st
RZ270,692 W 30th Ave,Approved,approved_strata,"Approved December 12, 2023",49.2440775,-123.1202552,https://www.shapeyourcity.ca/692-w-30-ave
RZ271,8655 Granville St,Approved,approved_strata,"Approved, May 18, 2021",49.207762352013,-123.140944259905,https://www.shapeyourcity.ca/8655-granville-st
RZ271,540 W 65th Ave and 8120-8168 Lord St,Approved,approved_market,"Approved December 12, 2023",49.2113005,-123.1182534,https://www.shapeyourcity.ca/540-w-65-ave-and-8120-8168-lord-st
RZ272,8257-8273 Oak St and 1025-1035 West 67th Ave,Approved,approved_strata,"Approved, May 18, 2021",49.2110836552085,-123.13052017203,https://www.shapeyourcity.ca/8257-oak-st
RZ275,1055 Harwood St,Approved,approved_market,"Approved January 23, 2024",49.2788085941152,-123.132438725128,https://www.shapeyourcity.ca/1055-harwood-st
RZ276,5515-5525 Elizabeth St,Approved,approved_strata,"Approved November 14, 2023",49.2351633282168,-123.112380278854,https://www.shapeyourcity.ca/5515-5525-elizabeth-st
RZ277,1510 W 71st Ave and 8733 Granville St,Approved,approved_market,"Approved November 14, 2023",49.2068678354896,-123.141075594628,https://www.shapeyourcity.ca/1510-w-71-ave-and-8733-granville-st
RZ278,130 W Broadway,Approved,approved_market,"Approved May 30, 2024",49.2628056512048,-123.108402032971,https://www.shapeyourcity.ca/130-w-broadway
RZ282,418-496 Alexander St,Approved,approved_non_market,"Approved July 5, 2022",49.2837422462711,-123.09355811408,https://www.shapeyourcity.ca/450-alexander-st
RZ282,6470 Larch St,Approved,approved_market,"Approved December 14, 2023",49.2275688250134,-123.162795041679,https://www.shapeyourcity.ca/6470-larch-st
RZ285,3084-3086 W 4th Ave and 2010-2032 Balaclava St,Approved,approved_moderate,"Approved Mar 4, 2021",49.2681584489807,-123.173483111069,https://www.shapeyourcity.ca/3084-w-4-ave-and-2010-balaclava-st
RZ285,800-876 Granville St,Approved,approved_office,"Approved February 10, 2026",49.2807888450766,-123.120190241963,https://www.shapeyourcity.ca/800-876-granville-st
RZ285,3084-3086 W 4th Ave and 2010-2032 Balaclava St,Approved,approved_market,"Approved Mar 4, 2021",49.2681614489807,-123.173486111069,https://www.shapeyourcity.ca/3084-w-4-ave-and-2010-balaclava-st
RZ286,516-534 W Pender & 509 Richards St,Approved,approved_office,"Approved October 23, 2025",49.2835452429685,-123.113669434719,https://www.shapeyourcity.ca/516-534-w-pender-st-and-509-richards-st
RZ287,5910-5998 Cambie St,Approved,approved_strata,"Approved March 9, 2021",49.2314402734454,-123.115798421701,https://www.shapeyourcity.ca/5910-5998-cambie-st
RZ290,5490 Ash St,Approved,approved_strata,"Approved April 9, 2024",49.2357069360147,-123.117408915258,https://www.shapeyourcity.ca/5490-ash-st
RZ292,2108 & 2408 Cassiar St,Approved,approved_non_market,"Approved March 12, 2024",49.2644121126615,-123.030261903228,https://www.shapeyourcity.ca/2108-and-2408-cassiar-st
RZ292,7730-7772 Cambie St,Approved,approved_strata,"Approved June 17, 2021",49.2146979755802,-123.116498300833,https://www.shapeyourcity.ca/7730-7772-cambie-st
RZ295,255-285 SW Marine Dr,Approved,approved_strata,"Approved April 9, 2024",49.2119134959723,-123.111869132334,https://www.shapeyourcity.ca/255-285-sw-marine-dr
RZ296,1365 W 12th Ave,Approved,approved_market,"Approved December 10, 2024",49.2610067885426,-123.135437787238,https://www.shapeyourcity.ca/1365-w-12-ave
RZ301,2928-2930 Renfrew St,Approved,approved_non_market,"Approved February 29, 2024",49.2577947891638,-123.043856839933,https://www.shapeyourcity.ca/2930-renfrew-st
RZ302,618 W 32nd Ave,Approved,approved_strata,"Approved July 13, 2023",49.2419625206826,-123.118921741194,https://www.shapeyourcity.ca/618-w32-ave
RZ304,4489 Oak St,Approved,approved_strata,"Approved October 22, 2024",49.2455584,-123.1281026,https://www.shapeyourcity.ca/4489-oak-st
RZ305,4708-4742 Joyce St,Approved,approved_market,"Approved September 24, 2024",49.2423109944877,-123.027633585926,https://www.shapeyourcity.ca/4708-4742-joyce-st
RZ306,8815-8827 Selkirk St,Approved,approved_market,"Approved May 30, 2024",49.2054154899882,-123.133663746967,https://www.shapeyourcity.ca/8815-8827-selkirk-st-2
RZ307,1063-1075 Barclay St,Approved,approved_market,"Approved January 17, 2023",49.2830901177643,-123.126308112273,https://www.shapeyourcity.ca/1063-1075-barclay-st
RZ307,1063-1075 Barclay St,Approved,approved_non_market,"Approved January 17, 2023",49.2830871177643,-123.126305112273,https://www.shapeyourcity.ca/1063-1075-barclay-st
RZ309,4426-4464 Knight Street + 1406 E 28th Avenue,Approved,approved_strata,"Approved September 21, 2021",49.2451439712732,-123.075953395962,https://www.shapeyourcity.ca/4426-4464-knight-st-and-1406-e-28-ave
RZ309,4426-4464 Knight Street + 1406 E 28th Avenue,Approved,approved_market,"Approved September 21, 2021",49.2451409712732,-123.075950395962,https://www.shapeyourcity.ca/4426-4464-knight-st-and-1406-e-28-ave
RZ309,7051 Ash Cr (Langara Gardens),Approved,approved_market,"Approved February 12, 2026",49.2211800217216,-123.119646273153,https://www.shapeyourcity.ca/7051-ash-cr
RZ310,5212 Granville St,Approved,approved_market,"Approved October 22, 2024",49.2388183049388,-123.1389207,https://www.shapeyourcity.ca/5212-granville-st
RZ311,485 W 28th Ave,Approved,approved_strata,"Approved April 13, 2021",49.2462942020766,-123.114838244847,https://www.shapeyourcity.ca/485-w-28-ave
